name,bref_id,nicknames,nickname1,nickname2,nickname3,nickname4,nickname5,nickname6
Dutch Fehring,fehridu01,['Dutch'],Dutch,,,,,
Eddie Feinberg,feinbed01,['Itzzy'],Itzzy,,,,,
Mike Felder,feldemi01,['Tiny'],Tiny,,,,,
Marv Felderman,feldema01,['Coonie'],Coonie,,,,,
Scott Feldman,feldmsc01,['Fuego'],Fuego,,,,,
Pedro Feliciano,felicpe01,['Perpetual Pedro'],Perpetual Pedro,,,,,
Michael Feliz,felizmi01,['Fuego'],Fuego,,,,,
Neftali Feliz,felizne01,['Neffi'],Neffi,,,,,
Pedro Feliz,felizpe01,['Happy Pete'],Happy Pete,,,,,
Bob Feller,fellebo01,"['Rapid Robert', 'Heater from Van Meter']",Rapid Robert,Heater from Van Meter,,,,
Horace Fenner,fenneho01,['Hod'],Hod,,,,,
Stan Ferens,ferenst01,['Lefty'],Lefty,,,,,
Bob Ferguson,fergubo01,['Death to Flying Things'],Death to Flying Things,,,,,
Cecil Ferguson,ferguge01,['Cecil'],Cecil,,,,,
Freddy Fermin,fermifr01,['The Ferminator'],The Ferminator,,,,,
Jose Fernandez,fernajo02,['Nino'],Nino,,,,,
Jose Miguel Fernandez,fernajo03,['Jotave'],Jotave,,,,,
Julian Fernandez,fernaju02,['Billete'],Billete,,,,,
Sid Fernandez,fernasi01,['El Sid'],El Sid,,,,,
Tony Fernandez,fernato01,"['Cabeza', 'El Fantasma']",Cabeza,El Fantasma,,,,
Al Ferrara,ferraal01,['The Bull'],The Bull,,,,,
Dave Ferriss,ferrida01,['Boo'],Boo,,,,,
Alex Ferson,fersoal01,['Colonel'],Colonel,,,,,
Mike Fetters,fettemi01,['Fett Dawg'],Fett Dawg,,,,,
Mark Fidrych,fidryma01,['The Bird'],The Bird,,,,,
Clarence Fieber,fiebecl01,['Lefty'],Lefty,,,,,
Cecil Fielder,fieldce01,['Big Daddy'],Big Daddy,,,,,
Prince Fielder,fieldpr01,['Uncle Phil'],Uncle Phil,,,,,
Daniel Fields,fieldda01,"['D', 'D-Fields']",D,D-Fields,,,,
Casey Fien,fienca01,['Fien Machine'],Fien Machine,,,,,
Lou Fiene,fienelo01,['Big Finn'],Big Finn,,,,,
Mike Fiers,fiersmi01,"['Kai', 'Smoky']",Kai,Smoky,,,,
Steve Filipowicz,filipst01,['Flip'],Flip,,,,,
Heath Fillmyer,fillmhe01,['Filly'],Filly,,,,,
Neal Finn,finnne01,['Mickey'],Mickey,,,,,
Brandon Finnegan,finnebr01,['Finny'],Finny,,,,,
Joseph Finneran,finneha01,"['Smokey Joe', 'Happy']",Smokey Joe,Happy,,,,
Dan Firova,firovda01,['Firo'],Firo,,,,,
Hank Fischer,fischha01,['Bulldog'],Bulldog,,,,,
Carlos Fisher,fisheca01,['Carlos'],Carlos,,,,,
Chauncey Fisher,fishech04,"['Peach', 'Whoa Bill']",Peach,Whoa Bill,,,,
Clarence Fisher,fishecl01,['Tad'],Tad,,,,,
George Fisher,fishesh01,['Showboat'],Showboat,,,,,
Ike Fisher,fishene01,['Ike'],Ike,,,,,
Jack Fisher,fisheja01,['Fat Jack'],Fat Jack,,,,,
Ray Fisher,fishera01,['Pick'],Pick,,,,,
Tom Fisher,fisheto01,['Red'],Red,,,,,
Carlton Fisk,fiskca01,['Pudge'],Pudge,,,,,
Max Fiske,fiskema01,['Ski'],Ski,,,,,
Wes Fisler,fislewe01,['Icicle'],Icicle,,,,,
Doug Fister,fistedo01,"['Dougie', 'Fist', 'Dougie Fresh']",Dougie,Fist,Dougie Fresh,,,
Howard Fitzgerald,fitzgho01,['Lefty'],Lefty,,,,,
Paul Fitzke,fitzkpa01,['Bob'],Bob,,,,,
Freddie Fitzsimmons,fitzsfr01,['Fat Freddie'],Fat Freddie,,,,,
Ira Flagstead,flagsir01,['Pete'],Pete,,,,,
Jack Flaherty,flaheja01,['Flare'],Flare,,,,,
John Flaherty,flahejo01,['Flash'],Flash,,,,,
Ryan Flaherty,flahery01,['Flash'],Flash,,,,,
Al Flair,flairal01,['Broadway'],Broadway,,,,,
Ed Flanagan,flanaed01,['Sleepy'],Sleepy,,,,,
Ray Flaskamper,flaskro01,['Flash'],Flash,,,,,
Les Fleming,flemile01,['Mae'],Mae,,,,,
Tom Fleming,flemito01,['Sleuth'],Sleuth,,,,,
David Fletcher,fletcda02,['Fletch'],Fletch,,,,,
Chris Flexen,flexech01,['Big Baby'],Big Baby,,,,,
Lew Flick,flickle01,['Noisy'],Noisy,,,,,
Mort Flohr,flohrmo01,['Dutch'],Dutch,,,,,
Paul Florence,florepa01,['Pep'],Pep,,,,,
Wilmer Flores,florewi01,['Ca Tire'],Ca Tire,,,,,
Pedro Florimon,floripe01,['Don Ramon'],Don Ramon,,,,,
Dylan Floro,florody01,['F Loro'],F Loro,,,,,
Tyler Flowers,flowety01,"['Flow', 'MMBB']",Flow,MMBB,,,,
Brian Flynn,flynnbr01,['Flynny'],Flynny,,,,,
George Flynn,flynnge01,['Dibby'],Dibby,,,,,
Gene Fodge,fodgege01,['Suds'],Suds,,,,,
Josh Fogg,foggjo01,['Dragon Slayer'],Dragon Slayer,,,,,
Mike Foltynewicz,foltymi01,"['Folty', 'High Foltage']",Folty,High Foltage,,,,
Wilmer Font,fontwi01,['Fonky'],Fonky,,,,,
Davy Force,forceda01,"['Wee Davy', 'Tom Thumb']",Wee Davy,Tom Thumb,,,,
Dan Ford,fordda01,['Disco Dan'],Disco Dan,,,,,
Horace Ford,fordho01,['Hod'],Hod,,,,,
Whitey Ford,fordwh01,"['The Chairman of the Board', 'Slick']",The Chairman of the Board,Slick,,,,
Brook Fordyce,fordybr01,['Dyce'],Dyce,,,,,
Frank Foreman,foremfr01,['Monkey'],Monkey,,,,,
Logan Forsythe,forsylo01,['Logie Bear'],Logie Bear,,,,,
George Foss,fossge01,['Deeby'],Deeby,,,,,
Tony Fossas,fossato01,['The Mechanic'],The Mechanic,,,,,
Ray Fosse,fossera01,['Marion Mule'],Marion Mule,,,,,
Casey Fossum,fossuca01,['the Blade'],the Blade,,,,,
Bill Foster,fostebi99,['Willie'],Willie,,,,,
Clarence Foster,fostepo01,['Pop'],Pop,,,,,
Ed Foster,fosteed01,['Slim'],Slim,,,,,
Eddie Foster,fosteed02,['Kid'],Kid,,,,,
George Foster,fostege01,['Yahtzee'],Yahtzee,,,,,
Bob Fothergill,fothebo01,['Fats'],Fats,,,,,
Henry Fournier,fournhe01,['Frenchy'],Frenchy,,,,,
Dave Foutz,foutzda01,['Scissors'],Scissors,,,,,
Boob Fowler,fowlebo01,['Gink'],Gink,,,,,
Dexter Fowler,fowlede01,"['Daddy Long Legs', 'Dex']",Daddy Long Legs,Dex,,,,
Jesse Fowler,fowleje01,['Pete'],Pete,,,,,
Charlie Fox,foxch01,['Irish'],Irish,,,,,
Nellie Fox,foxne01,"['Mighty Mite', 'Little Nel']",Mighty Mite,Little Nel,,,,
Jimmie Foxx,foxxji01,"['Beast', 'Double X']",Beast,Double X,,,,
Ossie France,francos01,['O. B.'],O. B.,,,,,
Maikel Franco,francma02,"['Maik', 'Compa F']",Maik,Compa F,,,,
Wander Franco,francwa01,['Patron'],Patron,,,,,
Jeff Francoeur,francje02,['Frenchy'],Frenchy,,,,,
Terry Francona,francte01,['Tito'],Tito,,,,,
Kevin Frandsen,frandke01,['Franny'],Franny,,,,,
Adam Frazier,fraziad01,['Fraz'],Fraz,,,,,
Clint Frazier,frazicl01,"['Bubba', 'Red Thunder', 'El Rojo']",Bubba,Red Thunder,El Rojo,,,
Todd Frazier,frazito01,['The ToddFather'],The ToddFather,,,,,
Kyle Freeland,freelky01,"['Free', 'Two One', 'Flat Stanley']",Free,Two One,Flat Stanley,,,
Harvey Freeman,freemha01,['Buck'],Buck,,,,,
Hersh Freeman,freemhe01,['Buster'],Buster,,,,,
Jerry Freeman,freemje01,['Buck'],Buck,,,,,
Marvin Freeman,freemma02,"[""Starvin' Marvin""]",Starvin' Marvin,,,,,
Mike Freeman,freemmi01,['Waldo'],Waldo,,,,,
Sam Freeman,freemsa01,['Freezy'],Freezy,,,,,
David Freese,freesda01,['DaveHuman'],DaveHuman,,,,,
Gene Freese,freesge02,['Augie'],Augie,,,,,
George Freese,freesge01,['Bud'],Bud,,,,,
Jim Fregosi,fregoji01,['Skip'],Skip,,,,,
Howard Freigau,freigho01,['Ty'],Ty,,,,,
Sal Frelick,frelisa01,['The Hit Collector'],The Hit Collector,,,,,
Walt French,frencwa01,"['Piggy', 'Fitz']",Piggy,Fitz,,,,
Lonny Frey,freylo01,['Junior'],Junior,,,,,
Grier Friday,fridask01,['Skipper'],Skipper,,,,,
Jim Fridley,fridlji01,['Big Jim'],Big Jim,,,,,
Max Fried,friedma01,['Maximus'],Maximus,,,,,
Christian Friedrich,friedch01,['Bird'],Bird,,,,,
Bob Friend,frienbo01,['Warrior'],Warrior,,,,,
Owen Friend,frienow01,['Red'],Red,,,,,
Ernesto Frieri,frierer01,['Ernasty'],Ernasty,,,,,
Charlie Frisbee,frisbch01,['Bunt'],Bunt,,,,,
Frankie Frisch,friscfr01,['The Fordham Flash'],The Fordham Flash,,,,,
Danny Frisella,friseda01,['Bear'],Bear,,,,,
Harry Fritz,fritzha01,['Dutchman'],Dutchman,,,,,
Jace Fry,fryja01,"['Foo', 'Frenchy']",Foo,Frenchy,,,,
Johnson Fry,fryjo01,['Jay'],Jay,,,,,
Paul Fry,frypa01,['Papa Frita'],Papa Frita,,,,,
Brian Fuentes,fuentbr01,['T-Rex'],T-Rex,,,,,
Rey Fuentes,fuentre01,['Coqui'],Coqui,,,,,
Tito Fuentes,fuentti01,['Parakeet'],Parakeet,,,,,
Frank Fuller,fullefr01,['Rabbit'],Rabbit,,,,,
Carson Fulmer,fulmeca01,['Filthy Fulmer'],Filthy Fulmer,,,,,
Charles Fulmer,fulmech01,['Chick'],Chick,,,,,
Michael Fulmer,fulmemi01,"['Fulm Piece', 'The Plumber']",Fulm Piece,The Plumber,,,,
Carl Furillo,furilca01,"['Skoonj', 'The Reading Rifle']",Skoonj,The Reading Rifle,,,,
Fred Fussell,fussefr01,['Moonlight Ace'],Moonlight Ace,,,,,
Frank Gabler,gablefr01,['The Great Gabbo'],The Great Gabbo,,,,,
Ken Gables,gableke01,['Coral'],Coral,,,,,
John Gaddy,gaddyjo01,['Sheriff'],Sheriff,,,,,
Gary Gaetti,gaettga01,"['The Rat', 'G-Man']",The Rat,G-Man,,,,
John Gaffney,gaffnjo99,['Honest John'],Honest John,,,,,
Del Gainer,gainede01,['Sheriff'],Sheriff,,,,,
Andres Galarraga,galaran01,['Big Cat'],Big Cat,,,,,
Al Gallagher,gallaal01,['Dirty Al'],Dirty Al,,,,,
Cam Gallagher,gallaca01,['Gally'],Gally,,,,,
Ed Gallagher,gallaed01,['Lefty'],Lefty,,,,,
Joe Gallagher,gallajo02,['Muscles'],Muscles,,,,,
Yovani Gallardo,gallayo01,['Yo'],Yo,,,,,
Giovanny Gallegos,gallegi01,"['Gio', 'El Yaqui']",Gio,El Yaqui,,,,
Zac Gallen,galleza01,"['Milkman', 'Galls']",Milkman,Galls,,,,
Joey Gallo,gallojo01,"['Joe Joe', 'Pico de Gallo']",Joe Joe,Pico de Gallo,,,,
Isaac Galloway,gallois01,['Gallo'],Gallo,,,,,
Jim Galloway,galloji01,['Bad News'],Bad News,,,,,
Pud Galvin,galvipu01,"['Pud', 'Gentle Jeems', 'The Little Steam Engine']",Pud,Gentle Jeems,The Little Steam Engine,,,
Freddy Galvis,galvifr01,['Toco'],Toco,,,,,
Ben Gamel,gamelbe01,['Gam'],Gam,,,,,
Mat Gamel,gamelma01,['Mat'],Mat,,,,,
Bob Gandy,gandybo01,['String'],String,,,,,
John Gant,gantjo01,['Johnny G'],Johnny G,,,,,
Joe Gantenbein,gantejo01,['Sep'],Sep,,,,,
Jim Gantner,gantnji01,['Gumby'],Gumby,,,,,
Rich Garces,garceri01,['El Guapo'],El Guapo,,,,,
Adolis Garcia,garciad02,['El Bombi'],El Bombi,,,,,
Adonis Garcia,garciad01,['La Maravilla'],La Maravilla,,,,,
Avisail Garcia,garciav01,"['Avi', 'Mini Miggy', 'Uncle Avi']",Avi,Mini Miggy,Uncle Avi,,,
Freddy Garcia,garcifr03,"['The Chief', 'The Rock']",The Chief,The Rock,,,,
Greg Garcia,garcigr01,['GG'],GG,,,,,
Jaime Garcia,garcija02,"['J Gar', 'Jaimito']",J Gar,Jaimito,,,,
Jarlin Garcia,garcija04,"['Jarlin The Marlin', 'The Elephant']",Jarlin The Marlin,The Elephant,,,,
Leury Garcia,garcile02,"['El Molleto', 'Leo']",El Molleto,Leo,,,,
Luis Garcia,garcilu03,"['Compa G', 'Amadito']",Compa G,Amadito,,,,
Mike Garcia,garcimi01,['The Big Bear'],The Big Bear,,,,,
Willy Garcia,garciwi01,['El Puchi'],El Puchi,,,,,
Yimi Garcia,garciyi01,['Villa Trina'],Villa Trina,,,,,
Nomar Garciaparra,garcino01,['Nomah'],Nomah,,,,,
Ron Gardenhire,gardero01,['Gardy'],Gardy,,,,,
Billy Gardner,gardnbi02,"['Whitey', 'Shotgun']",Whitey,Shotgun,,,,
Brett Gardner,gardnbr01,['Gardy'],Gardy,,,,,
Mark Gardner,gardnma01,['Gardy'],Gardy,,,,,
Debs Garms,garmsde01,['Tex'],Tex,,,,,
Dustin Garneau,garnedu01,['Drago'],Drago,,,,,
Phil Garner,garneph01,['Scrap Iron'],Scrap Iron,,,,,
Ralph Garr,garrra01,"['Road Runner', 'Gator']",Road Runner,Gator,,,,
Adrian Garrett,garread01,"['Pat', 'Smokey']",Pat,Smokey,,,,
Amir Garrett,garream01,"['AG', 'Count On AG']",AG,Count On AG,,,,
Clarence Garrett,garrecl01,['Laz'],Laz,,,,,
Ford Garrison,garrifo01,"['Rocky', 'Snapper']",Rocky,Snapper,,,,
Mitch Garver,garvemi01,['Garv Sauce'],Garv Sauce,,,,,
Steve Garvey,garvest01,"['Mr. Clean', 'The Garv']",Mr. Clean,The Garv,,,,
Matt Garza,garzama01,['The Count'],The Count,,,,,
Charlie Gassaway,gassach01,['Sheriff'],Sheriff,,,,,
Evan Gattis,gattiev01,"['El Oso Blanco', 'Bull']",El Oso Blanco,Bull,,,,
Kevin Gausman,gausmke01,['Gausy'],Gausy,,,,,
Doc Gautreau,gautrdo01,['Punk'],Punk,,,,,
Sid Gautreaux,gautrsi01,['Pudge'],Pudge,,,,,
Sam Gaviglio,gavigsa01,['Sammy G'],Sammy G,,,,,
George Gaw,gawch01,['Chippy'],Chippy,,,,,
Mike Gazella,gazelmi01,['Gazook'],Gazook,,,,,
Cory Gearrin,gearrco01,"['Ceegee', 'C.G.']",Ceegee,C.G.,,,,
Bob Geary,gearybo01,['Speed'],Speed,,,,,
Pete Gebrian,gebripe01,['Gabe'],Gabe,,,,,
Dillon Gee,geedi01,['G Money'],G Money,,,,,
Johnny Gee,geejo01,['Whiz'],Whiz,,,,,
Charlie Geggus,gagusch01,['Buck'],Buck,,,,,
Lou Gehrig,gehrilo01,"['The Iron Horse', 'Biscuit Pants', 'Buster', ""Laruppin'"", 'Crown Prince of Swat', 'Columbia']",The Iron Horse,Biscuit Pants,Buster,Laruppin',Crown Prince of Swat,Columbia
Charlie Gehringer,gehrich01,['The Mechanical Man'],The Mechanical Man,,,,,
Paul Gehrman,gehrmpa01,['Dutch'],Dutch,,,,,
Phil Geier,geierph01,['Little Phil'],Little Phil,,,,,
Frank Genins,geninfr01,['Frenchy'],Frenchy,,,,,
Scooter Gennett,gennesc01,"['Ryan', 'Dal3']",Ryan,Dal3,,,,
Jim Gentile,gentiji01,['Diamond Jim'],Diamond Jim,,,,,
Craig Gentry,gentrcr01,"['Gent', 'Kitten Face']",Gent,Kitten Face,,,,
Charles George,georggr01,['Greek'],Greek,,,,,
Mike Gerber,gerbemi01,['Gerbs'],Gerbs,,,,,
Wally Gerber,gerbewa01,['Spooks'],Spooks,,,,,
Bob Geren,gerenbo01,['Bob Green'],Bob Green,,,,,
Joe Gerhardt,gerhajo01,['Move Up Joe'],Move Up Joe,,,,,
Al Gerheauser,gerheal01,['Lefty'],Lefty,,,,,
George Gerken,gerkege01,['Pickles'],Pickles,,,,,
Steve Gerkin,gerkist01,['Splinter'],Splinter,,,,,
Domingo German,germado01,['Sunday'],Sunday,,,,,
Ed Gerner,gerneed01,['Lefty'],Lefty,,,,,
Cesar Geronimo,geronce01,['The Chief'],The Chief,,,,,
Doc Gessler,gessldo01,['Brownie'],Brownie,,,,,
Al Gettel,getteal01,['Two Gun'],Two Gun,,,,,
Gus Getz,getzgu01,['Gee-Gee'],Gee-Gee,,,,,
Pretzels Getzien,getzich01,['Pretzels'],Pretzels,,,,,
Jason Giambi,giambja01,['Giambino'],Giambino,,,,,
Joe Giard,giardjo01,['Peco'],Peco,,,,,
John Gibbons,gibbojo02,['Gibby'],Gibby,,,,,
Bob Gibson,gibsobo01,"['Hoot', 'Gibby']",Hoot,Gibby,,,,
Charlie Gibson,gibsoch01,['Gibby'],Gibby,,,,,
George Gibson,gibsoge01,['Moon'],Moon,,,,,
Kirk Gibson,gibsoki01,['Gibby'],Gibby,,,,,
Kyle Gibson,gibsoky01,['Gibby'],Gibby,,,,,
Norwood Gibson,gibsono01,['Gibby'],Gibby,,,,,
Geronimo Gil,gilge01,['The Chief'],The Chief,,,,,
Jack Gilbert,gilbeja01,['Jackrabbit'],Jackrabbit,,,,,
Logan Gilbert,gilbelo01,['Walter'],Walter,,,,,
Don Gile,giledo01,['Bear'],Bear,,,,,
Ken Giles,gileske01,['100 Miles Giles'],100 Miles Giles,,,,,
Frank Gilhooley,gilhofr01,['Flash'],Flash,,,,,
Johnny Gill,gilljo01,['Patcheye'],Patcheye,,,,,
Warren Gill,gillwa01,['Doc'],Doc,,,,,
Bob Gillespie,gillebo01,['Bunch'],Bunch,,,,,
John Gillespie,gillejo01,['Silent John'],Silent John,,,,,
Jim Gilliam,gilliji01,['Junior'],Junior,,,,,
Paul Gilliford,gillipa01,['Gorilla'],Gorilla,,,,,
Frank Gilmore,gilmofr01,['Shadow'],Shadow,,,,,
Len Gilmore,gilmole01,['Meow'],Meow,,,,,
Hal Gilson,gilsoha01,['Lefty'],Lefty,,,,,
Chris Gimenez,gimench01,['G'],G,,,,,
Lucas Giolito,giolilu01,"['Gio', 'Big Foot']",Gio,Big Foot,,,,
Tommy Giordano,giordto01,['T-Bone'],T-Bone,,,,,
Chris Gittens,gittech01,"[""Hard Hittin'""]",Hard Hittin',,,,,
Mychal Givens,givenmy01,['Tony'],Tony,,,,,
Dan Gladden,gladdda01,"['Dazzle', 'The Dazzle Man', 'Wrench']",Dazzle,The Dazzle Man,Wrench,,,
Fred Glade,gladefr01,['Lucky'],Lucky,,,,,
John Glaiser,glaisjo01,['Bert'],Bert,,,,,
Tyler Glasnow,glasnty01,"['Mini Horse', 'Baby Giraffe']",Mini Horse,Baby Giraffe,,,,
Jack Glasscock,glassja01,['Pebbly Jack'],Pebbly Jack,,,,,
Tommy Glaviano,glavito01,['Rabbit'],Rabbit,,,,,
Bill Gleason,gleasbi01,['Will'],Will,,,,,
Roy Gleason,gleasro01,['Atomico'],Atomico,,,,,
Jim Gleeson,gleesji01,['Gee Gee'],Gee Gee,,,,,
Frank Gleich,gleicfr01,['Inch'],Inch,,,,,
Ed Glenn,glenned01,['Mouse'],Mouse,,,,,
Harry Glenn,glennha01,['Husky'],Husky,,,,,
Joe Glenn,glennjo02,['Gabby'],Gabby,,,,,
Koda Glover,gloveko01,['Bear'],Bear,,,,,
Ed Glynn,glynned01,['The Flushing Flash'],The Flushing Flash,,,,,
Zack Godley,godleza01,['Bull'],Bull,,,,,
John Godwin,godwijo01,['Bunny'],Bunny,,,,,
Erik Goeddel,goedder01,"['Goopy', 'Goody']",Goopy,Goody,,,,
Ryan Goins,goinsry01,['Go Go'],Go Go,,,,,
Paul Goldschmidt,goldspa01,"['Goldy', ""America's First Baseman""]",Goldy,America's First Baseman,,,,
Stan Goletz,goletst01,['Stash'],Stash,,,,,
Austin Gomber,gombeau01,['Big G'],Big G,,,,,
Jonny Gomes,gomesjo01,['Ironsides'],Ironsides,,,,,
Yan Gomes,gomesya01,"['Obi Yan', 'The Yanimal', 'Gomer']",Obi Yan,The Yanimal,Gomer,,,
Carlos Gomez,gomezca01,"['Go-Go', 'Cargo', 'El Titere', 'El Final']",Go-Go,Cargo,El Titere,El Final,,
Jeanmar Gomez,gomezje01,"['Matthew', 'Janko']",Matthew,Janko,,,,
Lefty Gomez,gomezle01,['Goofy'],Goofy,,,,,
Miguel Gomez,gomezmi01,['Little Panda'],Little Panda,,,,,
Tony Gonsolin,gonsoto01,"['Goooose', 'The Cat Man']",Goooose,The Cat Man,,,,
Joe Gonzales,gonzajo01,['Smokey'],Smokey,,,,,
Marco Gonzales,gonzama02,['Gonzo'],Gonzo,,,,,
Adrian Gonzalez,gonzaad01,['El Titan'],El Titan,,,,,
Alex Gonzalez,gonzaal01,['Gonzo'],Gonzo,,,,,
Alex Gonzalez,gonzaal02,['Sea Bass'],Sea Bass,,,,,
Carlos Gonzalez,gonzaca01,['Cargo'],Cargo,,,,,
Chi Chi Gonzalez,gonzach01,['Chi Chi'],Chi Chi,,,,,
Erik Gonzalez,gonzaer01,"['El Mago', 'La Parita']",El Mago,La Parita,,,,
Eusebio Gonzalez,gonzaeu01,['Papo'],Papo,,,,,
Gio Gonzalez,gonzagi01,['Double G'],Double G,,,,,
Juan Gonzalez,gonzaju03,"['Juan Gone', 'Igor']",Juan Gone,Igor,,,,
Luis Gonzalez,gonzalu01,['Gonzo'],Gonzo,,,,,
Marwin Gonzalez,gonzama01,['Margo'],Margo,,,,,
Miguel Gonzalez,gonzami03,"['El Jaliscience', 'El Mariachi']",El Jaliscience,El Mariachi,,,,
Severino Gonzalez,gonzase01,['Chevito'],Chevito,,,,,
Ralph Good,goodra01,['Holy'],Holy,,,,,
Wilbur Good,goodwi01,['Lefty'],Lefty,,,,,
John Goodell,goodejo01,['Lefty'],Lefty,,,,,
Dwight Gooden,goodedw01,"['Doc', 'Dr. K.']",Doc,Dr. K.,,,,
Ival Goodman,goodmiv01,"['Goodie', ""Ol' Mate""]",Goodie,Ol' Mate,,,,
Niko Goodrum,goodrni01,"['J.J. Mumford', 'Stinchcomb']",J.J. Mumford,Stinchcomb,,,,
Brian Goodwin,goodwbr01,['B. Good'],B. Good,,,,,
Tom Goodwin,goodwto01,['Goody'],Goody,,,,,
Nick Goody,goodyni01,['Goods'],Goods,,,,,
Ray Goolsby,goolsra01,['Ox'],Ox,,,,,
Ray Gordinier,gordira01,['Gordy'],Gordy,,,,,
Alex Gordon,gordoal01,['Gordo'],Gordo,,,,,
Joe Gordon,gordojo01,['Flash'],Flash,,,,,
Tom Gordon,gordoto01,['Flash'],Flash,,,,,
George Gore,gorege01,['Piano Legs'],Piano Legs,,,,,
Howie Gorman,gormaho01,['Lefty'],Lefty,,,,,
Jack Gorman,gormaja01,['Stooping Jack'],Stooping Jack,,,,,
Tom Gorman,gormato01,['Big Tom'],Big Tom,,,,,
Tom Gorman,gormato03,['Gorfax'],Gorfax,,,,,
Rich Gossage,gossari01,['Goose'],Goose,,,,,
Phil Gosselin,gosseph01,"['Goose', 'Barrels']",Goose,Barrels,,,,
Daniel Gossett,gosseda01,['Goose'],Goose,,,,,
Trevor Gott,gotttr01,['Gottie'],Gottie,,,,,
Al Gould,gouldal01,['Pudgy'],Pudgy,,,,,
Mauro Gozzo,gozzoma01,['Goose'],Goose,,,,,
Billy Grabarkewitz,grababi01,['Grabs'],Grabs,,,,,
Johnny Grabowski,grabojo01,['Nig'],Nig,,,,,
Mark Grace,gracema01,"['Amazing', 'Gracie', 'Little Hurt']",Amazing,Gracie,Little Hurt,,,
Matt Grace,gracema02,['Gracey'],Gracey,,,,,
Louis Graff,grafflo01,['Chappie'],Chappie,,,,,
Bert Graham,grahabe02,['B.G.'],B.G.,,,,,
Kyle Graham,grahask01,['Skinny'],Skinny,,,,,
Moonlight Graham,grahamo01,['Moonlight'],Moonlight,,,,,
Yasmani Grandal,grandya01,"['YRG Jr', 'Yazmanian Devil']",YRG Jr,Yazmanian Devil,,,,
Curtis Granderson,grandcu01,['Grandy Man'],Grandy Man,,,,,
Eddie Grant,granted01,['Harvard Eddie'],Harvard Eddie,,,,,
Frank Grant,grantfr99,['The Colored Dunlap'],The Colored Dunlap,,,,,
Mark Grant,grantma01,['Mud'],Mud,,,,,
Mudcat Grant,grantmu01,"['Mudcat', 'Jim']",Mudcat,Jim,,,,
George Grantham,grantge01,['Boots'],Boots,,,,,
Don Grate,gratedo01,['Buckeye'],Buckeye,,,,,
Juan Graterol,grateju01,['El Grate'],El Grate,,,,,
Kendall Graveman,graveke01,['Digger'],Digger,,,,,
Brett Graves,gravebr01,['Bump'],Bump,,,,,
Danny Graves,graveda01,['Baby-faced Assassin'],Baby-faced Assassin,,,,,
Sid Graves,gravesi01,['Whitey'],Whitey,,,,,
Jim Gray,grayji01,['Reddy'],Reddy,,,,,
Jon Gray,grayjo02,['Gray Wolf'],Gray Wolf,,,,,
Sam Gray,graysa01,['Sad Sam'],Sad Sam,,,,,
Sonny Gray,grayso01,['Pickles'],Pickles,,,,,
Bill Greason,greasbi01,['Booster'],Booster,,,,,
Craig Grebeck,grebecr01,['Little Hurt'],Little Hurt,,,,,
Chad Green,greench03,['Greeny'],Greeny,,,,,
Harvey Green,greenha02,['Buck'],Buck,,,,,
Hank Greenberg,greenha01,"[""Hammerin' Hank""]",Hammerin' Hank,,,,,
Nelson Greene,greenne01,['Lefty'],Lefty,,,,,
Paddy Greene,greenpa01,['Patsy'],Patsy,,,,,
Shane Greene,greensh02,"['Shaner', 'Team Jake']",Shaner,Team Jake,,,,
Tommy Greene,greento01,"['Jethro', 'Tee to Greene']",Jethro,Tee to Greene,,,,
Tyler Greene,greenty02,['Tyler'],Tyler,,,,,
Mike Greenwell,greenmi01,['Gator'],Gator,,,,,
Bob Greenwood,greenbo01,['Greenie'],Greenie,,,,,
Rusty Greer,greerru01,['The Red Baron'],The Red Baron,,,,,
Luke Gregerson,gregelu01,['Duke'],Duke,,,,,
Dave Gregg,greggda01,['Highpockets'],Highpockets,,,,,
Hal Gregg,greggha01,['Skeets'],Skeets,,,,,
Tom Gregorio,gregoto01,['Tomo'],Tomo,,,,,
Didi Gregorius,gregodi01,"['Sir Didi', 'The Knight', 'Sir MJG']",Sir Didi,The Knight,Sir MJG,,,
Paul Gregory,gregopa01,['Pop'],Pop,,,,,
Grayson Greiner,greingr01,['Gary'],Gary,,,,,
Ed Gremminger,gremmed01,['Battleship'],Battleship,,,,,
Randal Grichuk,grichra01,['Grich'],Grich,,,,,
Ken Griffey Jr.,griffke02,"['Junior', 'The Kid', 'The Natural']",Junior,The Kid,The Natural,,,
A.J. Griffin,griffaj01,['Sweet Lettuce'],Sweet Lettuce,,,,,
Alfredo Griffin,griffal01,['Primo'],Primo,,,,,
Doug Griffin,griffdo01,"['Dude', 'Griff']",Dude,Griff,,,,
Hank Griffin,griffha01,['Pepper'],Pepper,,,,,
Bert Griffith,griffbe01,['Buck'],Buck,,,,,
Clark Griffith,griffcl01,['The Old Fox'],The Old Fox,,,,,
Pedro Grifol,grifope99,['Grif'],Grif,,,,,
Jason Grilli,grillja01,['Grill Cheese'],Grill Cheese,,,,,
Burleigh Grimes,grimebu01,"[""Ol' Stubblebeard""]",Ol' Stubblebeard,,,,,
Ray Grimes,grimera01,['Bummer'],Bummer,,,,,
Charlie Grimm,grimmch01,['Jolly Cholly'],Jolly Cholly,,,,,
Justin Grimm,grimmju01,['Reaper'],Reaper,,,,,
Myron Grimshaw,grimsmy01,['Moose'],Moose,,,,,
